customer_id,customer_name,customer_email,gender,age,annual_income,marital_status
10602,Sanjit Chand,p7x4fdk5@gmail.com,Male,32,126370,Single
11987,Edward Hooks,z6@gmail.com,Female,25,68094,Single
10963,Tonja Turnell,m7x1xz9ml@gmail.com,Female,18,120955,Single
11721,Anne McFarland,c0i115@gmail.com,Female,19,155881,Single
11093,Bill Tyler,009251wp3j@gmail.com,Male,17,141383,Single
11151,Darrin Martin,,Male,19,147278,Single
11201,Brian Derr,8a085@gmail.com,Male,20,79800,Single
11547,Randy Ferguson,q5bbva9@gmail.com,Female,25,180341,Single
11792,Hunter Glantz,,Female,24,106153,Single
10146,Mike Pelletier,4cdkv6ip1@gmail.com,Male,24,26000,Single
10608,Sally Matthias,2@gmail.com,Female,26,145457,Single
10856,Darrin Martin,,Male,20,142801,Single
11162,Philisse Overcash,668c536gv7@gmail.com,Female,20,155951,Single
10783,Jane Waco,503smj5@gmail.com,Male,22,76521,Single
10808,Pete Kriz,,Male,23,57535,Single
11362,Khloe Miller,0p8az18@gmail.com,Female,23,86365,Single
11360,Muhammed Lee,n7w26s16mp@gmail.com,Female,24,77914,Single
10344,Bradley Drucker,iyd@gmail.com,Female,25,149840,Single
10649,Vivek Sundaresam,06nsv@gmail.com,Female,25,178627,Single
11087,Linda Southworth,,Female,25,63261,Single
10023,Jason Klamczynski,h556v9z2@gmail.com,Female,26,42000,Single
10252,Laura Armstrong,su3d@gmail.com,Female,26,44000,Single
11089,Joe Kamberova,02njjs9pt@gmail.com,Female,26,162076,Single
11276,Laura Armstrong,4@gmail.com,Male,26,166361,Single
11182,Bobby Odegard,,Female,27,163442,Single
11794,Herbert Flentye,vn@gmail.com,Female,27,101474,Single
11256,Sally Knutson,53@gmail.com,Male,28,56432,Single
11940,Richard Bierner,,Female,28,146308,Single
11119,Pamela Coakley,,Female,29,105391,Single
11389,Michael Kennedy,c8dsclb6@gmail.com,Female,29,140673,Single
10701,Darren Koutras,zf84eq434@gmail.com,Female,30,172882,Single
11074,Katherine Murray,9@gmail.com,Male,30,162332,Single
10123,Adrian Barton,,Female,31,97000,Single
10256,James Lanier,6a7d6za1@gmail.com,Male,32,85000,Single
11176,Gary Mitchum,oi24@gmail.com,Male,32,52543,Single
11340,Aaron Hawkins,rj@gmail.com,Female,32,125677,Single
11371,Brian Stugart,s71e@gmail.com,Male,32,84658,Single
11273,Rick Duston,,Female,35,138529,Single
10183,Toby Carlisle,iefv5@gmail.com,Male,36,11000,Single
10719,Kunst Miller,2i3w3b90@gmail.com,Female,36,50550,Single
11194,Alan Shonely,,Female,38,157588,Single
10562,Becky Castell,93q59@gmail.com,Female,40,169496,Single
11477,Bryan Spruell,t11@gmail.com,Male,41,84008,Single
10293,Chad Cunningham,86fm837q@gmail.com,Male,42,38000,Single
10365,Chad Cunningham,955@gmail.com,Male,42,62833,Single
11241,Bryan Mills,i1u2552@gmail.com,Female,42,153821,Single
11960,Charlotte Melton,98@gmail.com,Female,42,155432,Single
10045,Zuschuss Carroll,b@gmail.com,Female,46,72000,Single
10268,Karen Daniels,,Female,46,36000,Single
10761,Michelle Tran,cj83h84r4l@gmail.com,Female,47,51700,Single
11538,John Murray,417@gmail.com,Female,47,70030,Single
11990,Pete Kriz,e88z2724@gmail.com,Female,47,75293,Single
10210,James Galang,d3j1u3@gmail.com,Female,48,39000,Single
11024,Marc Crier,555x6vr@gmail.com,Male,48,99423,Single
11486,Peter BСЊhler,kgz2s@gmail.com,Male,49,111690,Single
11728,Clay Ludtke,1oknmo@gmail.com,Male,50,185257,Single
10225,Anne Pryor,lrx@gmail.com,Female,51,83000,Single
10395,Charles McCrossin,n0v9em@gmail.com,Female,52,151696,Single
11473,Erin Ashbrook,,Female,52,127833,Single
11603,Liz Preis,207q9@gmail.com,Male,52,114556,Single
11942,Maureen Gnade,u2k14pw556@gmail.com,Male,52,110519,Single
11984,Erica Smith,,Female,52,55395,Single
10017,Thomas Boland,g87@gmail.com,Female,54,29000,Single
10503,Jason Fortune-,dm3nc0@gmail.com,Female,54,53097,Single
11442,Ben Peterman,99bb92e5@gmail.com,Female,55,75831,Single
10475,Adam Shillingsburg,1x80jg@gmail.com,Female,56,59202,Single
11317,Ken Dana,f38i08w@gmail.com,Female,56,109396,Single
11530,Maria Zettner,,Female,56,152547,Single
10902,Sung Pak,m@gmail.com,Male,57,160980,Single
11490,Steven Cartwright,30r0as@gmail.com,Female,57,167558,Single
10068,Cari Sayre,ttfzdzl0@gmail.com,Female,58,82000,Single
10603,Nathan Cano,08@gmail.com,Female,58,154007,Single
11428,Matthew Grinstein,,Male,58,62893,Single
11077,Tracy Blumstein,k53ta@gmail.com,Male,59,73760,Single
10615,Rick Huthwaite,,Male,60,134629,Single
10003,Craig Reiter,9a760@gmail.com,Female,61,86000,Single
10318,Neil FranzС†sisch,1431@gmail.com,Male,61,183217,Single
10408,Thomas Thornton,,Male,62,103896,Single
11588,Russell Applegate,,Female,62,181795,Single
10718,Rose O'Brian,,Female,63,103739,Single
11939,Monica Federle,v4ugq4wq9@gmail.com,Male,65,132537,Single
11082,Justin MacKendrick,r8fqxf9n@gmail.com,Female,66,138013,Single
11822,Paul Prost,j1w55o6py@gmail.com,Male,66,174163,Single
10531,Art Ferguson,sbjcl478@gmail.com,Female,67,104834,Single
11132,Roland Schwarz,,Male,67,152684,Single
11824,Carol Adams,sig@gmail.com,Male,67,51860,Single
10033,Joel Eaton,,Male,68,59000,Single
10189,Joy Smith,k@gmail.com,Female,69,76000,Single
11772,Matt Hagelstein,v@gmail.com,Female,69,84167,Single
11734,Christina Anderson,,Female,70,57039,Single
10011,Greg Maxwell,q2vtj@gmail.com,Male,71,7000,Single
10662,Laura Armstrong,9mgwa6s4@gmail.com,Male,72,148759,Single
11063,Philip Fox,0mg8782@gmail.com,Male,72,131122,Single
10309,Mike Vittorini,,Male,73,112766,Single
11517,Corey Roper,j769sc@gmail.com,Female,73,95853,Single
10441,Brian Derr,a21n@gmail.com,Female,75,57373,Single
10568,Bart Watters,b@gmail.com,Female,75,172896,Single
10505,Denise Leinenbach,2l@gmail.com,Female,76,183851,Single
10590,Richard Eichhorn,32z4@gmail.com,Female,77,148520,Single
11540,Ken Lonsdale,090ki69g9@gmail.com,Female,77,166163,Single
10211,Ken Black,88r@gmail.com,Female,78,57000,Single
10200,Nona Balk,sq3663z14h@gmail.com,Male,79,33000,Single
10824,Grace Kelly,486c6@gmail.com,Female,79,122698,Single
11052,Tracy Blumstein,y@gmail.com,Male,79,116822,Single
11216,Justin Hirsh,si4n772@gmail.com,Male,79,135042,Single
10302,Joy Bell-,,Male,81,95851,Single
11396,Cathy Armstrong,2f0y72tzy@gmail.com,Female,82,105448,Single
10103,Logan Haushalter,98@gmail.com,Male,84,98000,Single
10792,Henry Goldwyn,7dg1@gmail.com,Female,84,178214,Single
11462,Jeremy Pistek,nny@gmail.com,Female,84,77269,Single
10703,Rick Wilson,9665nm@gmail.com,Male,87,113998,Single
11929,Beth Thompson,51234z26i0@gmail.com,Male,87,76892,Single
11909,Jennifer Jackson,8x493@gmail.com,Male,89,180324,Single
10236,Maribeth Dona,uzmf330g@gmail.com,Female,30,62000,Single
10362,Steve Chapman,,Male,26,63364,Single
10436,Kunst Miller,h503couw@gmail.com,Female,25,106581,Single
10777,Dave Brooks,0ro44j@gmail.com,Male,19,85975,Single
10834,Tamara Chand,93k@gmail.com,Female,45,146776,Single
10870,Filia McAdams,5@gmail.com,Female,41,113575,Single
10883,Mike Gockenbach,j@gmail.com,Female,48,59284,Single
10892,Sonia Cooley,,Female,18,135705,Single
10972,Shaun Chance,1x9@gmail.com,Female,21,108675,Single
11278,Brian Moss,,Male,21,161156,Single
11524,Lisa Hazard,iulai2@gmail.com,Male,23,157383,Single
11975,Evan Henry,,Female,14,153145,Single
10544,Mike Pelletier,,Female,16,170266,Single
10552,Maribeth Schnelling,29yw@gmail.com,Female,16,89211,Single
11049,Sally Knutson,,Female,16,163585,Single
11086,Paul Knutson,r0@gmail.com,Male,16,153230,Single
11097,Natalie Fritzler,,Female,16,129019,Single
11122,Katrina Edelman,muu@gmail.com,Female,16,68212,Single
11185,Carlos Meador,8dr@gmail.com,Female,16,138425,Single
11359,Ken Black,,Male,16,167517,Single
11450,Becky Martin,iu@gmail.com,Female,16,97931,Single
11509,Maribeth Schnelling,c73@gmail.com,Male,16,179269,Single
11724,Eugene Hildebrand,,Female,16,52374,Single
11945,Toby Gnade,zd97glv9@gmail.com,Male,16,129635,Single
10010,Joseph Holt,ccxzwhoe44@gmail.com,Female,17,98000,Single
10019,Jim Sink,a5xc@gmail.com,Male,17,20000,Single
10025,Naresj Patel,21uerw@gmail.com,Female,17,67000,Single
10306,Dionis Lloyd,ea@gmail.com,Female,17,180243,Single
10387,Chloris Kastensmidt,iiw60f45@gmail.com,Female,17,151124,Single
10431,Denny Joy,61u2@gmail.com,Male,17,111558,Single
11002,Corinna Mitchell,x@gmail.com,Female,17,55712,Single
11293,Sylvia Foulston,fn@gmail.com,Male,17,70733,Single
11747,Giulietta Dortch,84t@gmail.com,Male,17,91290,Single
10042,Barry Franz,7eswuv@gmail.com,Male,18,85000,Single
10084,Tom Prescott,,Female,18,34000,Single
10089,Berenike Kampe,,Female,18,76000,Single
10094,Stuart Van,y320ioe@gmail.com,Female,18,31000,Single
10102,Rick Wilson,hu572dsequ@gmail.com,Female,18,4000,Single
10206,Rob Beeghly,ac3j3@gmail.com,Female,18,10000,Single
10255,Heather Jas,45@gmail.com,Female,18,27000,Single
10443,Justin Ellison,lk68j186@gmail.com,Female,18,66322,Single
10571,Rob Dowd,,Male,18,90084,Single
11232,Mark Hamilton,j19u6vh4kg@gmail.com,Female,18,61355,Single
11562,John Lee,069@gmail.com,Male,18,129914,Single
11585,Denise Leinenbach,i48w@gmail.com,Female,18,101948,Single
10076,John Huston,13623bcl@gmail.com,Male,19,49000,Single
10110,Valerie Mitchum,2@gmail.com,Male,19,13000,Single
10238,Ellis Ballard,,Male,19,36000,Single
10410,Sarah Jordon,,Male,19,102717,Single
10759,Russell Applegate,u1488xht2d@gmail.com,Male,19,129396,Single
10760,Sarah Brown,ag5u74m015@gmail.com,Female,19,62628,Single
10969,Barry Gonzalez,2vi1tr@gmail.com,Male,19,186897,Single
11043,David Kendrick,k@gmail.com,Female,19,171921,Single
11191,Olvera Toch,02z6m2@gmail.com,Male,19,142214,Single
11223,Brian Moss,k@gmail.com,Female,19,104888,Single
11282,Noah Childs,o59b427a@gmail.com,Male,19,50526,Single
11295,Paul Gonzalez,t@gmail.com,Female,19,116001,Single
11388,Nick Radford,,Male,19,118554,Single
11459,Emily Burns,3395@gmail.com,Female,19,143567,Single
11729,Juliana Krohn,467rl2efz1@gmail.com,Male,19,78669,Single
11817,MaryBeth Skach,42@gmail.com,Female,19,165254,Single
11867,Gary Mitchum,j3hto5@gmail.com,Female,19,157316,Single
11995,Michelle Huthwaite,,Female,19,54121,Single
10174,Tom Ashbrook,bnkwz85@gmail.com,Male,20,99000,Single
10299,Julia Dunbar,8m@gmail.com,Male,20,79000,Single
10343,Bruce Geld,m6579p838a@gmail.com,Male,20,107941,Single
10726,Cynthia Voltz,4bn1bn9f30@gmail.com,Female,20,59844,Single
11302,Katrina Bavinger,y7au@gmail.com,Female,20,81112,Single
11589,Randy Ferguson,f@gmail.com,Female,20,186445,Single
11736,Natalie DeCherney,v562wh@gmail.com,Female,20,136531,Single
11889,Katherine Hughes,f1x1z6flx@gmail.com,Female,20,180437,Single
11910,Katrina Willman,eo840zl4c@gmail.com,Male,20,149067,Single
10351,Shirley Jackson,,Female,21,67850,Single
10473,Dean percer,62@gmail.com,Male,21,104582,Single
10582,Maris LaWare,j5xj@gmail.com,Female,21,111191,Single
10922,Andy Yotov,,Male,21,189091,Single
